Order,Level,short_code,long_code,long_parent,code,parent,description
925131,1,10011,10011000010,,,,
925132,1,10011,10011000090,,,,LIVE ANIMALS; ANIMAL PRODUCTS
925133,2,10021,10021000090,10011000090,1,,LIVE ANIMALS
925134,3,10100,10100000080,10021000090,1.01,1,Live horses  asses  mules and hinnies
925135,4,10121,10121000010,10100000080,,1.01,
925136,5,10121,10121000080,10121000010,101.21,,Pure-bred breeding horses
925137,5,10129,10129000080,10121000010,101.29,,Live horses (excl. pure-bred for breeding)
925138,4,10130,10130000080,10100000080,101.3,1.01,Live asses
925139,4,10190,10190000080,10100000080,101.9,1.01,Live mules and hinnies
925140,3,10200,10200000080,10021000090,1.02,1,Live bovine animals
925141,4,10221,10221000010,10200000080,,1.02,
925142,5,10221,10221000080,10221000010,102.21,,Pure-bred cattle for breeding
925143,5,10229,10229000080,10221000010,102.29,,Live cattle (excl. pure-bred for breeding)
925144,4,10231,10231000010,10200000080,,1.02,
925145,5,10231,10231000080,10231000010,102.31,,Pure-bred buffalo for breeding
925146,5,10239,10239000080,10231000010,102.39,,Live buffalo (excl. pure-bred for breeding)
925147,4,10290,10290000080,10200000080,102.9,1.02,Live bovine animals (excl. cattle and buffalo)
925148,3,10300,10300000080,10021000090,1.03,1,Live swine
925149,4,10310,10310000080,10300000080,103.1,1.03,Pure-bred breeding swine
925150,4,10391,10391000010,10300000080,,1.03,
925151,5,10391,10391000080,10391000010,103.91,,Live pure-bred swine  weighing < 50 kg (excl. pure-bred for breeding)
925152,5,10392,10392000080,10391000010,103.92,,Live pure-bred swine  weighing >= 50 kg (excl. pure-bred for breeding)
925153,3,10400,10400000080,10021000090,1.04,1,Live sheep and goats
925154,4,10410,10410000080,10400000080,104.1,1.04,Live sheep
925155,4,10420,10420000080,10400000080,104.2,1.04,Live goats
925156,3,10500,10500000080,10021000090,1.05,1,"Live poultry  ""fowls of the species Gallus domesticus  ducks  geese  turkeys and guinea fowls"""
925157,4,10511,10511000010,10500000080,,1.05,
925158,5,10511,10511000080,10511000010,105.11,,Live fowls of the species Gallus domesticus  weighing <= 185 g (excl. turkeys and guinea fowls)
925159,5,10512,10512000080,10511000010,105.12,,Live domestic turkeys  weighing <= 185 g
925160,5,10513,10513000080,10511000010,105.13,,Live domestic ducks  weighing <= 185 g
925161,5,10514,10514000080,10511000010,105.14,,Live domestic geese  weighing <= 185 g
